o_provincia	o_localidad	o_calle	o_numero	o_CP	n_provincia	n_partido	n_localidad	n_barrio	n_calle	n_numero	n_CP	n_resolucion	n_motivo	n_entre Calle 1	n_entre Calle 2	 CV_ZonaPeligrosa
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	UGARTECHE	3121	1425	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	UGARTECHE	3121	1425	CO	SM	CABELLO	AVENIDA CERVIÑO	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	SAN BLAS	4549	1407	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VELEZ SARSFIELD	SAN BLAS	4549	1407	CO	SM	ATAHUALPA	BERNALDES	N
MENDOZA	MENDOZA	CORONEL PLAZA	446	5500	MENDOZA	CAPITAL	MENDOZA		CNEL PLAZA	446	5500	CO	SM	AVENIDA BARTOLOME MITRE	REPUBLICA DE CHILE	N
CORDOBA	CORDOBA	LEON PINELO	408	5000	CORDOBA	CAPITAL	CORDOBA	ALTO ALBERDI	L PINELO	408	5002	CO	SM	LUIS DE AZPEITIA	JOSE GABINO BLANCO	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	HOLMBERG	4127	1430	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAAVEDRA	HOLMBERG	4127	1430	CO	SM	VILELA	TENIENTE CORONEL MANUEL BESARES	N
BUENOS AIRES	SAN ISIDRO	AV. ROLON	716	1642	BUENOS AIRES	SAN ISIDRO	SAN ISIDRO		AV A ROLON	716	1642	CO	SM	DON BOSCO	JACINTO DIAZ	N
BUENOS AIRES	LOMA HERMOSA	RIO SALADO	8557	1657	BUENOS AIRES	TRES DE FEBRERO	LOMA HERMOSA		RIO SALADO	8557	1657	CO	SM	CORONEL J MORENO	PARAGUAY	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	MALABIA	460	1414	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA CRESPO	MALABIA	460	1414	CO	SM	AVENIDA CORRIENTES	VERA	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	SAENZ PEÃ?A ROQUE AVDA. PTE.	991	1035	CAPITAL FEDERAL		CIUDAD AUTONOMA BUENOS AIRES		SAENZ PEAA ROQUE		1035	NE	AI			
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	ESTADOS UNIDOS	1828	1227	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN CRISTOBAL	ESTADOS UNIDOS	1828	1227	CO	SM	AVENIDA ENTRE RIOS	COMBATE DE LOS POZOS	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	URIBURU JOSE EVARISTO PRESIDENTE	279	1027	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	PRES JOSE E URIBURU	279	1027	CO	SM	TENIENTE GENERAL JUAN DOMINGO PERON	DOMINGO FAUSTINO SARMIENTO	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	LAVALLE	1537 3er Cuerpo	1048	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	GRAL JUAN LAVALLE	1537	1048	CO	SM	PARANA	MONTEVIDEO	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	MONTEVIDEO	770	1019	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	MONTEVIDEO	770	1019	CO	SM	GENERAL JUAN JOSE VIAMONTE	AVENIDA CORDOBA	N
MISIONES	POSADAS	POSADAS	S/N	3300	MISIONES		POSADAS		POSADAS		3300	NE	AI			
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	DEL LIBERTADOR AVDA.	774	1001	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RETIRO	AV DEL LIBERTADOR	774	1001	CO	SM	LIBERTAD	MONTEVIDEO	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	CABILDO AVDA.	280	1426	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	AV CABILDO	280	1426	CO	SM	SANTOS DUMONT	TENIENTE BENJAMIN MATIENZO	N
CORRIENTES	ITUZAINGO	ENTRE RIOS	58	3400	CORRIENTES		ITUZAINGO		ENTRE RIOS	58	3400	NE	AI			
BUENOS AIRES	ARRECIFES	RICARDO GUTIERREZ Y AV. BELGRANO	S/N	2740	BUENOS AIRES	ARRECIFES	ARRECIFES		RICARDO GUTIERREZ		2740	NE	AI			
BUENOS AIRES	HURLINGHAM	JUAN DE GARAY	472	1686	BUENOS AIRES	HURLINGHAM	HURLINGHAM		J DE GARAY	472	1686	CO	SM	MAYOR VICTOR BERGAMI	GENERAL ALFREDO RODRIGUEZ	N
BUENOS AIRES	SAN MARTIN		LIBERTAD		BUENOS AIRES	GENERAL SAN MARTIN	GENERAL SAN MARTIN	PTDO. GENERAL SAN MARTIN	LIBERTAD			NE	AI			
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	TUCUMAN	359	1049	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	TUCUMAN	359	1049	CO	SM	25 DE MAYO	RECONQUISTA	N
CORDOBA	CORDOBA	CORRIENTES	81	5000	CORDOBA	CAPITAL	CORDOBA	CENTRO	CORRIENTES	81	5000	CO	SM	INDEPENDENCIA	BUENOS AIRES	N
BUENOS AIRES	TIGRE	CAZON	585	1648	BUENOS AIRES	TIGRE	TIGRE		AV D M CAZON	585	1648	CO	SM	SOLIS	BUTTELER	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	GUARDIA NACIONAL	2292	1440	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MATADEROS	GUARDIA NACIONAL	2292	1440	CO	SM	PASAJE CHAMICAL	AVENIDA MARIA EVA DUARTE DE PERON	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	REGIMIENTO DE PATRICIOS AVDA.	78	1265	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BOCA	AV REGIMIENTO DE PATRICIOS	78	1265	CO	SM	AVENIDA MARTIN GARCIA	PI Y MARGALL	N
CORDOBA	CORDOBA	SUCRE	2385	5000	CORDOBA	CAPITAL	CORDOBA	ALTA CORDOBA	SUCRE	2385	5001	CO	SM	PASAJE FRAY NICOLAS DE ULLOA	FRAY JOSE LEON TORRES	N
BUENOS AIRES	SIERRAS BAYAS	RUTA PROVINCIAL 76 KM 16	S/N	7403	BUENOS AIRES	OLAVARRIA	SIERRAS BAYAS		RUTA PROVINCIAL 76		7403	NE	CI			
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	CALVO CARLOS	3773	1230	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BOEDO	C CALVO	3773	1230	CO	SM	JOSE EUSEBIO COLOMBRES	PEDRO IGNACIO CASTRO BARROS	N
BUENOS AIRES	SAN FERNANDO	CONSTITUCION	487	1646	BUENOS AIRES	SAN FERNANDO	SAN FERNANDO		CONSTITUCION	487	1646	CO	SM	ALVEAR	ITUZAINGO	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	HUBAC	5956	1439	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA LUGANO	HUBAC	5956	1439	CO	SM	PASAJE CRISTOBAL HICKEN	AVENIDA CORONEL MARIANO LARRAZABAL	N
CORDOBA	CORONEL MOLDES	AV. AGUSTIN TOSCO	199	5847	CORDOBA	RIO CUARTO	CORONEL MOLDES		AV A TOSCO	199	5847	CO	SM			
BUENOS AIRES	9 DE ABRIL	M. ARBEL	3700	1839	BUENOS AIRES	ESTEBAN ECHEVERRIA	9 DE ABRIL	1 DE MAYO	M ARBEL	3700	1776	CO	SM	ROBERTO OLIVER		N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	GARCIA JUAN AGUSTIN	5154	1407	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VELEZ SARSFIELD	JUAN A GARCIA	5154	1407	CO	SM	MIGUEL DE CERVANTES	PEDRO CALDERON DE LA BARCA	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	RIVADAVIA AVDA.	1319	1033	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	AV B RIVADAVIA	1319	1033	CO	SM	SANTIAGO DEL ESTERO	URUGUAY	N
BUENOS AIRES	TEMPERLEY	PASCO	4015	1834	BUENOS AIRES	LOMAS DE ZAMORA	TEMPERLEY		PASCO	4015	1834	NE	AI			
BUENOS AIRES	ALEJANDRO PETION		RUTA 205 KM. 54 (LA MARTONA)		BUENOS AIRES	CAÑUELAS	ALEJANDRO PETION		RP 205		1808	CO	SM			
BUENOS AIRES	DERQUI	SANTA FE	2126	1635	BUENOS AIRES	PILAR	PRESIDENTE DERQUI		SANTA FE	2126	1635	CO	SM	PARAGUAY	PERU	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	SALGUERO JERONIMO	60	1177	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	ALMAGRO	J SALGUERO	60	1177	CO	SM	AVENIDA BERNARDINO RIVADAVIA	GENERAL BARTOLOME MITRE	N
CORDOBA	CORDOBA	ONCATIVO MERCADO NORTE	50	5000	CORDOBA	CAPITAL	CORDOBA	CENTRO	ONCATIVO	50	5000	CO	SM	LA TABLADA	PRESIDENTE BERNARDINO RIVADAVIA	N
BUENOS AIRES	ZARATE	JUSTA LIMA	441	2800	BUENOS AIRES	ZARATE	ZARATE		J LIMA DE ATUCHA	441	2800	CO	SM	ROMULO NOYA	AMEGHINO	N
BUENOS AIRES	SAN MARTIN		LAVALLE		BUENOS AIRES	GENERAL SAN MARTIN	GENERAL SAN MARTIN	PTDO. GENERAL SAN MARTIN	LAVALLE			NE	AI			
CORRIENTES	CORRIENTES	CORDOBA	341	3400	CORRIENTES	CAPITAL	CORRIENTES	LA ROSADA	CORDOBA	341	3400	CO	SM	AVENIDA GOBERNADOR JUAN TORRES DE VERA Y ARAGON	PLACIDO MARTINEZ	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	IRIGOYEN BERNARDO DE	330	1072	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	DR B DE IRIGOYEN	330	1072	CO	SM	DOCTOR MARIANO MORENO	AVENIDA MANUEL BELGRANO	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	SANTA FE AVDA.	3243	1425	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	AV SANTA FE	3243	1425	CO	SM	AVENIDA CORONEL DIAZ	PASAJE ANASAGASTI	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	TACUARI	2019	1139	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BARRACAS	TACUARI	2019	1139	CO	SM	USPALLATA	FELIX DE AZARA	N
BUENOS AIRES	LA TABLADA	MERLO	10	1766	BUENOS AIRES	LA MATANZA	LA TABLADA		MERLO	10	1766	CO	SM	AVENIDA GENERAL JOSE DE SAN MARTIN	CERRITO	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	ALSINA ADOLFO	2041	1090	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	DR A ALSINA	2041	1090	CO	SM	SARANDI	BATALLA DE RINCON	N
BUENOS AIRES	MERLO	CERVANTES	1901	1722	BUENOS AIRES	MERLO	MERLO		CERVANTES	1901	1722	CO	SM	GENERAL JOSE MARIA PAZ A	EMILIO ZOLA	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	LOPEZ CARLOS ANTONIO	3648	1419	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA DEVOTO	CARLOS A LOPEZ	3648	1419	CO	SM	AVENIDA GENERAL JOSE DE SAN MARTIN	SAN NICOLAS	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	PASTEUR	272	1028	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	DR L PASTEUR	272	1028	CO	SM	TENIENTE GENERAL JUAN DOMINGO PERON	DOMINGO FAUSTINO SARMIENTO	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	LAFERRERE GREGORIO DE	2793	1406	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	FLORES	G DE LAFERRERE	2793	1406	CO	SM	PASAJE MANUEL DE ARROTEA	CULPINA	N
BUENOS AIRES	CAÃ?UELAS	DEL CARMEN	441	1814	BUENOS AIRES	CAÑUELAS	CAÑUELAS		DEL CARMEN	441	1814	CO	SM	CORONEL BRANDSEN	LARA	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	MANSILLA LUCIO NORBERTO GRAL.	2668	1425	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	GRAL LUCIO MANSILLA	2668	1425	CO	SM	ECUADOR	DOCTOR NORBERTO QUIRNO COSTA	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	ALVARADO	2354	1290	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BARRACAS	ALVARADO	2354	1290	CO	SM	SANTA MAGDALENA		N
SIN PROVINCIA	SIN LOCALIDAD	S/C	S/N		SIN PROVINCIA		SIN LOCALIDAD		S/N			NE	LI			
SALTA	CERRILLOS	PRO. EGIDIO BONATO	225	4403	SALTA		CERRILLOS		PRO EGIDIO BONATO	225	4403	NE	CI			
BUENOS AIRES	MARTINEZ	PASO	107	1640	BUENOS AIRES	SAN ISIDRO	MARTINEZ		DR J JOSE PASO	107	1640	CO	SM	ALBARELLOS	ARENALES	N
SANTA FE	ROSARIO	ITALIA	965	2000	SANTA FE	ROSARIO	ROSARIO	CENTRO	ITALIA	965	2000	CO	SM	RIOJA	SAN LUIS	N
BUENOS AIRES	SAN ANTONIO DE PADUA	INDEPENDENCIA	705	1718	BUENOS AIRES	MERLO	SAN ANTONIO DE PADUA		INDEPENDENCIA	705	1718	CO	SM	NEUQUEN	ALTHABE	N
SANTA FE	CASILDA	ALIGHIERI DANTE	3103	2170	SANTA FE	CASEROS	CASILDA	NUEVA ROMA	DANTE ALIGHIERI	3103	2170	CO	SM	CHILE	GARIBALDI	N
TUCUMAN	SAN MIGUEL DE TUCUMAN	SAN LORENZO	247	4000	TUCUMAN	CAPITAL	SAN MIGUEL DE TUCUMAN	SUR	COMBATE DE SAN LORENZO	247	4000	CO	SM	PROVINCIA DE ENTRE RIOS	LAS HERAS	N
NEUQUEN	NEUQUEN	JUAN J. LASTRA	980	8300	NEUQUEN	CONFLUENCIA	NEUQUEN	VILLA FLORENCIA	JUAN J LASTRA	980	8300	CO	SM	PILOTO	SOLDADO DESCONOCIDO	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	CORRIENTES AVDA.	1847	1045	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	AV CORRIENTES	1847	1045	CO	SM	AVENIDA CALLAO	PASAJE ENRIQUE SANTOS DISCEPOLO	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	BRUSELAS	1468	1408	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA REAL	BRUSELAS	1468	1408	CO	SM	SIMBRON	JOSE PEDRO VARELA	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	BEIRO FRANCISCO AVDA.	4201	1419	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA DEVOTO	AV F BEIRO	4201	1419	CO	SM	GUALEGUAYCHU	SANABRIA	N
BUENOS AIRES	VICENTE LOPEZ	AV DEL LIBERTADOR	1742	1638	BUENOS AIRES	VICENTE LOPEZ	VICENTE LOPEZ		AV DEL LIBERTADOR	1742	1638	CO	SM	ARENALES	PRESIDENTE HIPOLITO YRIGOYEN	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	ARRIBEÃ?OS	2273	1428	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BELGRANO	ARRIBEÑOS	2273	1428	CO	SM	MENDOZA	AVENIDA FELIX DE OLAZABAL	N
MISIONES	POSADAS	BOLIVAR	1450	3300	MISIONES	CAPITAL	POSADAS	CENTRO	GRAL SIMON BOLIVAR	1450	3300	CO	SM	25 DE MAYO	3 DE FEBRERO	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	RIGLOS	848	1424	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PARQUE CHACABUCO	M RIGLOS	848	1424	CO	SM	AVENIDA DIRECTORIO	DOCTOR FACUNDO DE ZUVIRIA	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	VALENTIN VIRASORO	1352	1414	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA CRESPO	VALENTIN VIRASORO	1352	1414	CO	SM	MARIANO ANTEZANA	CORONEL APOLINARIO FIGUEROA	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	RIOBAMBA	1026	1116	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	RIOBAMBA	1026	1116	CO	SM	PRESIDENTE MARCELO TORCUATO DE ALVEAR	AVENIDA SANTA FE	N
BUENOS AIRES	HURLINGHAM	BIZET	2985	1686	BUENOS AIRES	HURLINGHAM	HURLINGHAM		BIZET	2985	1686	CO	SM	BENITO PEREZ GALDOS	POETA ROMILDO RISSO	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	CABILDO AVDA.	4160	1429	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAAVEDRA	AV CABILDO	4160	1429	CO	SM	VILELA	TENIENTE CORONEL MANUEL BESARES	N
BUENOS AIRES	DEL VISO	LOBUNO	405	1669	BUENOS AIRES	PILAR	DEL VISO		LOBUNO	405	1669	NE	AI			
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	NOGOYA	4912	1417	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA DEVOTO	NOGOYA	4912	1417	CO	SM	DESAGUADERO	PASAJE MAGDALENA	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	MOLDES	1931	1428	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BELGRANO	CNEL J MOLDES	1931	1428	CO	SM	MARISCAL ANTONIO JOSE DE SUCRE	ESTEBAN ECHEVERRIA	N
BUENOS AIRES	SAN ISIDRO	RIVADAVIA	154	1642	BUENOS AIRES	SAN ISIDRO	SAN ISIDRO		RIVADAVIA	154	1642	CO	SM	LEANDRO NICEFORO ALEM	MARTIN Y OMAR	N
CORDOBA	CORDOBA	PINTO OCTAVIO	3077	5000	CORDOBA	CAPITAL	CORDOBA	VILLA CABRERA	AV O PINTO	3077	5009	CO	SM	TEMISTOCLES CASTELLANOS	RICARDO PEDRONI	N
BUENOS AIRES	VILLA DOMINICO	VILLA DEL LUJAN	1331	1874	BUENOS AIRES	AVELLANEDA	SARANDI		VILLA DE LUJAN	1331	1872	CO	SM	GENERAL HEREDIA	CORONEL JUAN ANTONIO CASACUBERTA	N
BUENOS AIRES	CAMPANA	CASTILLA	621	2804	BUENOS AIRES	CAMPANA	CAMPANA		CASTILLA	621	2804	CO	SM	LUIS PEDRO JACOB	ANTONIO COLETTA	N
BUENOS AIRES	VILLA LOMA HERMOSA	DIAGONAL	190	1428	BUENOS AIRES		VILLA LOMA HERMOSA		DIAGONAL 190		1428	NE	CI			
BUENOS AIRES	QUILMES	AZCASUBI	472	1878	BUENOS AIRES	QUILMES	QUILMES		ASCASUBI	472	1878	CO	SM	GENERAL PAZ	CORONEL JUAN PASCUAL PRINGLES	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	TAGLE	2585	1425	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	TAGLE	2585	1425	CO	SM	AVENIDA GENERAL JUAN GREGORIO DE LAS HERAS	JOSE LEON PAGANO	N
CORDOBA	BARRIO PARQUE LICEO	ROLDAN BELISARIO	1066	5000	CORDOBA	CAPITAL	CORDOBA	PARQUE LICEO 2DA	BELISARIO ROLDAN	1066	5019	CO	SM	OLEGARIO VICTOR ANDRADE	ATALIVA HERRERA	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	SARMIENTO	539	1041	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	DOMINGO F SARMIENTO	539	1041	CO	SM	SAN MARTIN	FLORIDA	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	AYACUCHO	1075	1111	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	AYACUCHO	1075	1111	CO	SM	PRESIDENTE MARCELO TORCUATO DE ALVEAR	AVENIDA SANTA FE	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	FLORIDA	375	1005	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	FLORIDA	375	1005	CO	SM	DOMINGO FAUSTINO SARMIENTO	AVENIDA CORRIENTES	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	SANTA FE AVDA.	4990	1425	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	AV SANTA FE	4990	1425	CO	SM	ARTURO ANTONIO DRESCO	BONPLAND	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	S/C	S/N		CAPITAL FEDERAL		CIUDAD AUTONOMA BUENOS AIRES		S/N			NE	CI			
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	ESTIVAO	39	1405	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CABALLITO	PJE J ESTIVAO	39	1405	CO	SM	POTOSI	ILDEFONSO RAMOS MEJIA	N
RIO NEGRO	SAN ANTONIO OESTE	SAN MARTIN	824	8520	RIO NEGRO	SAN ANTONIO	SAN ANTONIO OESTE		GRAL SAN MARTIN	824	8520	CO	SM	DOMINGO FAUSTINO SARMIENTO	PRESIDENTE CARLOS PELLEGRINI	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	TRIUNVIRATO AVDA.	5409	1431	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA URQUIZA	AV TRIUNVIRATO	5409	1431	CO	SM	JUAN JOSE QUESADA	IBERA	N
LA PAMPA	SANTA ROSA	JUAN B JUSTO	169	6300	LA PAMPA		SANTA ROSA		JUAN B JUSTO	169	6300	NE	AI			
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	DEFENSA	113	1065	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	DEFENSA	113	1065	CO	SM	PRESIDENTE HIPOLITO YRIGOYEN	DOCTOR ADOLFO ALSINA	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	VALLESE FELIPE	2329	1406	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	FLORES	F VALLESE	2329	1406	CO	SM	CARACAS	ALFREDO R BUFANO	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	CALLAO 737	S/N	1023	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	AV CALLAO	737	1023	CO	SM	GENERAL JUAN JOSE VIAMONTE	AVENIDA CORDOBA	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	DEAN FUNES	592	1231	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	DEAN FUNES	592	1231	CO	SM	VENEZUELA	MEXICO	N
BUENOS AIRES	SANTOS LUGARES	ALMAFUERTE	3927	1676	BUENOS AIRES	TRES DE FEBRERO	SANTOS LUGARES		ALMAFUERTE	3927	1676	CO	SM	DOCTOR CANEPA	CALIXTO OYUELA	N
SAN LUIS	VILLA MERCEDES	SUIPACHA	783	5730	SAN LUIS	GENERAL PEDERNERA	VILLA MERCEDES	ALMIRANTE BROWN	SUIPACHA	783	5730	CO	SM	SAN JUAN	NECOCHEA	N
CORDOBA	PILAR	ZENON LOPEZ	957	5972	CORDOBA		PILAR		ZENON LOPEZ	957	5972	DU	DS			
CORDOBA	CORDOBA	DUARTE QUIROS	96	5000	CORDOBA		CORDOBA		DUARTE QUIROS	96	5000	DU	DS			
CORDOBA	GENERAL DEHEZA	BV. SAN MARTIN E INTENDENTE URQUIA	S/N	5923	CORDOBA		GENERAL DEHEZA		BOULEVARD SAN MARTIN E INTENDENTE URQUIA		5923	NE	CI			
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	VALLEJOS	2409	1419	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA PUEYRREDON	A VALLEJOS	2409	1419	CO	SM	MAXIMO ZAMUDIO	GENERAL JOSE GERVASIO ARTIGAS	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	CÃ?SPEDES	2473	1426	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	COLEGIALES	F DE CESPEDES	2473	1426	CO	SM	AVENIDA CABILDO	CIUDAD DE LA PAZ	N
BUENOS AIRES	REMEDIOS DE ESCALADA	AV. HIPOLITO YRIGOYEN	6646	1826	BUENOS AIRES	LANUS	REMEDIOS DE ESCALADA	VILLA GENERAL SAN MARTIN	AV PTE H YRIGOYEN	6646	1826	CO	SM	DOCTOR LUIS MURATURE	ROCA	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	CORDOBA AVDA.	1345	1055	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RETIRO	AV CORDOBA	1345	1055	CO	SM	TALCAHUANO	URUGUAY	N
NEUQUEN	NEUQUEN	SGTO. CABRAL	537	8300	NEUQUEN	CONFLUENCIA	NEUQUEN	AREA CENTRO OESTE	SGTO J B CABRAL	537	8300	CO	SM	SALTA	JUJUY	N
SAN LUIS	LA TOMA	AV. DEL CASTILLO Y CIRCUNVALACION	S/N	5750	SAN LUIS		LA TOMA		AVENIDA DEL CASTILLO		5750	NE	CI			
